high_95,central,high_68,observed,low_95,low_68,mass
0.05754988640546799,0.06298828125,0.02586062252521515,0.06250393738886349,0.029279708862304688,0.018071070313453674,1400
0.031005561351776123,0.033935546875,0.013932660222053528,0.025806668676579513,0.01577472686767578,0.00961272418498993,1600
0.01974094659090042,0.0216064453125,0.008870793506503105,0.015167775145744753,0.010043621063232422,0.006120331585407257,1800
0.013553472235798836,0.01458740234375,0.006047185510396957,0.012419092949734633,0.0068378448486328125,0.00416681170463562,2000
0.009823386371135714,0.010400390625,0.00435292273759842,0.016772646337249838,0.00487518310546875,0.003008902072906494,2200
0.007546801865100861,0.007739257812500001,0.0033008441329002384,0.01431111459257415,0.003658008575439454,0.0022290989756584174,2400
0.0060362137854099275,0.0060791015625000005,0.002641239762306214,0.008497335201801574,0.0028970718383789064,0.0017880365252494817,2600
0.005119074881076813,0.005078125,0.0022265784442424778,0.006067166611631153,0.0024200439453125,0.0014936208724975588,2800
0.0043695665895938885,0.00426025390625,0.0019019342958927158,0.005127226737333807,0.0020469188690185546,0.001263332739472389,3000
0.0038007086515426634,0.00365234375,0.0016450989246368413,0.004928198416417038,0.0017548370361328124,0.0010830634832382203,3200
0.0033656287193298347,0.0030468750000000005,0.001445252001285553,0.00394430835936452,0.0014996337890625005,0.0009372711181640627,3400
0.003055765628814698,0.0026953125000000002,0.0012999793887138364,0.003002070551214057,0.0013371276855468751,0.0008357048034667968,3600
0.0030054968595504767,0.0025488281250000003,0.001269967257976532,0.002448503569335561,0.0012744140625000002,0.0007965087890625,3800
0.0038000530004501346,0.0032226562500000003,0.001605705618858338,0.0028551202756111013,0.0016113281250000001,0.0010196685791015628,4000
